,Unnamed: 0,pop_est,continent,name,iso_a3,gdp_md_est,Order,Country of president,President,Location continent,Location country,Location city,Date start,Date end,Subject,Participants,Source,Link,year
188,25,54841552,Africa,South Africa,ZAF,739100,903,China,Hu Jintao,,South Africa,Pretoria,2.6.2007,2.6.2007,Hu Jintao held talks with South African President Thabo Mbeki.,"Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Thabo Mbeki",http://news.xinhuanet.com/english/2007-02/07/content_5706089.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=5706,2007
190,27,124574795,North America,Mexico,MEX,2307000,1,USA,W. BUSH,,Mexico,San Cristobal,16.2.2001,16.2.2001,Meeting with President Fox.,,,,2001
191,27,124574795,North America,Mexico,MEX,2307000,15,USA,W. BUSH,,Mexico,Monterrey,21.3.2002,22.3.2002,"Attended the International Conference on Financing for Development and met 
with President Fox.",,,,2002
194,27,124574795,North America,Mexico,MEX,2307000,81,USA,W. BUSH,,Mexico,"Cancun, Chichen-Itza",30.3.2006,31.3.2006,Met with President Fox and Canadian Prime Minister Harper.,,,,2006
195,27,124574795,North America,Mexico,MEX,2307000,98,USA,W. BUSH,,Mexico,"Merida, Uxmal",3.12.2007,14.3.2007,Met with President Calderon. Visited Mayan ruins.,,,,2007
196,27,124574795,North America,Mexico,MEX,2307000,148,USA,OBAMA,,Mexico,Mexico City,16.4.2009,17.4.2009,Met with President Calderon.,,,,2009
197,27,124574795,North America,Mexico,MEX,2307000,158,USA,OBAMA,,Mexico,Guadalajara,8.9.2009,8.10.2009,Attended the North American Leadersâ Summit.,,,,2009
199,27,124574795,North America,Mexico,MEX,2307000,195,USA,OBAMA,,Mexico,Mexico City,5.2.2013,5.3.2013,Met with President Enrique Pena Nieto.,,,,2013
200,27,124574795,North America,Mexico,MEX,2307000,206,USA,OBAMA,,Mexico,Toluca,14.2.2013,14.2.2013,Attended the North American Leaders Summit.,,,,2013
202,27,124574795,North America,Mexico,MEX,2307000,837,China,Xi Jinping,,Mexico,Mexico City,6.4.2013,6.5.2013,"Chinese, Mexican presidents discuss bilateral cooperation #China #Mexico , Chinese president awarded key to Mexico City #China #Mexico, Xi delivers speech on #China' ties with #Mexico, LatAm, Chinese president urges joint efforts to expand economic cooperation with #Mexico #China, Xi calls for more exchanges between Chinese, Mexican legislatures #China #Mexico","Xi Jinping, Enrique Pena Nieto, Xi Jinping, Miguel Mancera, Xi Jinping, Enrique Pena Nieto, Xi Jinping, Enrique Pena Nieto, Xi Jinping, Ricardo Anaya Cortes, Francisco Arroyo Vieyra",http://news.xinhuanet.com/english/china/2013-06/06/c_124818140.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=17300,2013
204,27,124574795,North America,Mexico,MEX,2307000,929,China,Hu Jintao,,Mexico,Mexico City,9.12.2005,9.12.2005,"Hu Jintao held talks with Mexican President Vicente Fox.
","Hu Jintao, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Vicente Fox",,http://www.chinavitae.com//vip/index.php?mode=show&id=4079,2005
206,28,3360148,South America,Uruguay,URY,73250,95,USA,W. BUSH,,Uruguay,Montevideo,3.9.2007,3.11.2007,Met with President Tabare Vazquez.,,,,2007
207,28,3360148,South America,Uruguay,URY,73250,978,China,Jiang Zemin,,Uruguay,,4.10.2001,4.11.2001,Tour of Latin Americca,,china.org.cn/english/2001/Apr/9917.htm,https://www.fmprc.gov.cn/web/ziliao_674904/zt_674979/ywzt_675099/2355_676073/,2001
208,29,207353391,South America,Brazil,BRA,3081000,71,USA,W. BUSH,,Brazil,Brasilia,11.5.2005,11.6.2005,Met with President Lula da Silva.,,,,2005
209,29,207353391,South America,Brazil,BRA,3081000,94,USA,W. BUSH,,Brazil,Sao Paulo,3.8.2007,3.9.2007,Met with President Lula da Silva.,,,,2007
210,29,207353391,South America,Brazil,BRA,3081000,175,USA,OBAMA,,Brazil,"Brasilia, Rio de Janeiro",19.3.2011,21.3.2011,Met with President Roussef.,,,,2011
211,29,207353391,South America,Brazil,BRA,3081000,402,Russia,Putin,,Brazil,,7.11.2014,,Interview to Prensa Latina and ITAR-TASS,,,http://en.kremlin.ru/events/president/trips/46239,2014
212,29,207353391,South America,Brazil,BRA,3081000,501,Russia,Dmitry Medvedev,,Brazil,,16.4.2010,,Dmitry Medvedev met with President of the China Hu Jintao,,,http://en.kremlin.ru/events/president/trips/7482,2010
213,29,207353391,South America,Brazil,BRA,3081000,542,Russia,Dmitry Medvedev,,Brazil,,25.11.2008,,Dmitry Medvedev on an official visit to Brazil,,,http://en.kremlin.ru/events/president/trips/4568,2008
214,29,207353391,South America,Brazil,BRA,3081000,643,Russia,Putin,,Brazil,,22.11.2004,,The official welcome ceremony marking President Vladimir Putin's visit to Brazil took place at the Planalto Presidential Palace in the Brazilian capital Brasilia,,,http://en.kremlin.ru/events/president/trips/45541,2004
217,29,207353391,South America,Brazil,BRA,3081000,867,China,Hu Jintao,,Brazil,Brasilia,15.4.2010,15.4.2010,"Hu Jintao attended the second summit meeting of BRIC (Brazil, Russia, India and China) leaders.","Hu Jintao, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Luiz Inacio da Silva Lula, Dmitry Medvedev, Manmohan Singh",http://news.xinhuanet.com/english2010/china/2010-04/16/c_13253529.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=8298,2010
218,29,207353391,South America,Brazil,BRA,3081000,943,China,Hu Jintao,,Brazil,Sao Paulo,11.12.2004,15.11.2004,"Hu Jintao addressed the National Congress of Brazil, before his speech, Hu met separately with leaders of both houses of parliament. 
, Hu Jintao held talks with Brazilian President Luiz Inacio Lula da Silva., Hu Jintao met with Rosinha Garotinho, Governor of the state of Rio de Janeiro. , Hu Jintao visited the space research institute of Brazil.","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Luiz Inacio Lula da Silva, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Rosinha Garotinho, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang",,http://www.chinavitae.com//vip/index.php?mode=show&id=2885,2004
219,29,207353391,South America,Brazil,BRA,3081000,976,China,Jiang Zemin,,Brazil,,4.11.2001,4.12.2001,Tour of Latin Americca,,china.org.cn/english/2001/Apr/9917.htm,https://www.fmprc.gov.cn/web/ziliao_674904/zt_674979/ywzt_675099/2355_676073/,2001
221,31,31036656,South America,Peru,PER,410400,16,USA,W. BUSH,,Peru,Lima,23.3.2002,24.3.2002,"Met with the Presidents of Peru, Colombia, and Bolivia, and with the Vice 
President of Ecuador.",,,,2002
228,32,47698524,South America,Colombia,COL,688000,57,USA,W. BUSH,,Colombia,Cartagena,22.11.2004,22.11.2004,Met with President Uribe.,,,,2004
229,32,47698524,South America,Colombia,COL,688000,96,USA,W. BUSH,,Colombia,Bogota,3.11.2007,3.11.2007,Met with President Uribe.,,,,2007
231,33,3753142,North America,Panama,PAN,93120,72,USA,W. BUSH,,Panama,Panama City,11.6.2005,11.7.2005,Met with President Martin Torrijos.,,,,2005
233,33,3753142,North America,Panama,PAN,93120,760,China,Xi Jinping,,Panama,Panama City,12.3.2018,12.3.2018,"China, Panama agree to further promote ties","Xi Jinping, Juan Carlos Varela",http://www.xinhuanet.com/english/2018-12/04/c_137648721.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=29142,2018
234,34,4930258,North America,Costa Rica,CRI,79260,196,USA,OBAMA,,Costa Rica,San Jose,5.3.2013,5.4.2013,"Met with President Laura Chinchilla and leaders of the Central American 
Integration System.",,,,2013
235,34,4930258,North America,Costa Rica,CRI,79260,838,China,Xi Jinping,,Costa Rica,San Jose,6.2.2013,6.3.2013,"Chinese president arrives in #Costa Rica for state visit #China, Poverty elimination remains important task of Chinese government: President Xi #China #Costa Rica, Chinese, Costa Rican presidents discuss bilateral cooperation #China #Costa Rica","Xi Jinping, Liyuan Peng, Xi Jinping, Marco Tulio Zamora, Xi Jinping, Laura Chinchilla",http://news.xinhuanet.com/english/china/2013-06/03/c_124805882.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=17275,2013
236,34,4930258,North America,Costa Rica,CRI,79260,887,China,Hu Jintao,,Costa Rica,San Jose,17.11.2008,17.11.2008,Hu Jintao met with Costa Rican President Oscar Arias.,"Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Xie Xuren, Yang Jiechi, Oscar Arias",http://news.xinhuanet.com/english/2008-11/17/content_10372887.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=7063,2008
237,35,6025951,North America,Nicaragua,NIC,33550,404,Russia,Putin,,Nicaragua,,7.12.2014,,Visit to Nicaragua,,,http://en.kremlin.ru/events/president/trips/46205,2014
239,37,6172011,North America,El Salvador,SLV,54790,17,USA,W. BUSH,,El Salvador,San Salvador,24.3.2002,24.3.2002,Attended a summit meeting with Central American heads of state.,,,,2002
240,37,6172011,North America,El Salvador,SLV,54790,177,USA,OBAMA,,El Salvador,San Salvador,22.3.2011,23.3.2011,Met with President Funes.,,,,2011
241,38,15460732,North America,Guatemala,GTM,131800,97,USA,W. BUSH,,Guatemala,"Guatemala City, Santa Cruz Balanya, Iximche",3.11.2007,3.12.2007,Met with President Berger.,,,,2007
242,38,15460732,North America,Guatemala,GTM,131800,577,Russia,Putin,,Guatemala,,7.3.2007,,Vladimir Putin met with the President of the International Olympic Committee Jacques Rogge,,,http://en.kremlin.ru/events/president/trips/45693,2007
244,40,31304016,South America,Venezuela,VEN,468600,541,Russia,Dmitry Medvedev,,Venezuela,,27.11.2008,,Russian-Venezuelan talks were held in Caracas,,,http://en.kremlin.ru/events/president/trips/4567,2008
245,40,31304016,South America,Venezuela,VEN,468600,818,China,Xi Jinping,,Venezuela,Caracas,20.7.2014,21.7.2014,"Chinese president receives Liberator Medal in Caracas, Venezuela, China, Venezuela lift ties to comprehensive strategic partnership, Chinese president arrives in Venezuela for state visit, Xi Jinping Meets with President of the National Assembly Diosdado Cabello of Venezuela, Xi urges stronger parliamentary exchanges between China, Venezuela, Xi visits Chavez's mausoleum to pay respect to China's ""great friend""","Xi Jinping, Nicolas Maduro, Xi Jinping, Nicolas Maduro, Xi Jinping, Nicolas Maduro, Xi Jinping, Diosdado Cabello, Xi Jinping, Diosdado Cabello, Xi Jinping",http://news.xinhuanet.com/english/china/2014-07/22/c_133500516.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=20297,2014
246,40,31304016,South America,Venezuela,VEN,468600,975,China,Jiang Zemin,,Venezuela,,15.4.2001,17.4.2001,Tour of Latin Americca,,http://www.china.org.cn/english/2001/Apr/9917.htm,https://www.fmprc.gov.cn/web/ziliao_674904/zt_674979/ywzt_675099/2355_676073/,2001
249,43,67106161,Europe,France,-99,2699000,20,USA,W. BUSH,,France,"Paris, St. Mere- Eglise, Colleville",26.5.2002,27.5.2002,Met with President Chirac and delivered a Memorial Day address in Normandy.,,,,2002
251,43,67106161,Europe,France,-99,2699000,53,USA,W. BUSH,,France,"Paris, Colleville, Caen, Arromanches",6.5.2004,6.6.2004,Met with President Chirac and commemorated the 60th anniversary of D-Day.,,,,2004
252,43,67106161,Europe,France,-99,2699000,132,USA,W. BUSH,,France,Paris,13.6.2008,15.6.2008,"Met with President Sarkozy. Addressed the OECD. Attended wreath-laying 
ceremonies at Suresnes and Mont Valerien.",,,,2008
254,43,67106161,Europe,France,-99,2699000,153,USA,OBAMA,,France,"Paris, Caen",6.5.2009,6.7.2009,"Met with President Sarkozy and dedicated the new visitor center at the U.S. 
Military Cemetery in Normandy.",,,,2009
257,43,67106161,Europe,France,-99,2699000,221,USA,OBAMA,,France,"Paris, Omaha Beach, Benouville, Ouistreham",6.5.2014,6.6.2014,"Met with President Francois Hollande. Attended ceremonies commemorating the 
70th anniversary of the Normandy landings. Discussed the Ukrainian 
situation with Russian President Vladimir Putin.",,,,2014
259,43,67106161,Europe,France,-99,2699000,270,USA,TRUMP,,France,Paris,13.7.2017,14.7.2017,"Official visit. Met with President Emmanuel Macron. Commemorated Bastille 
Day and the entry of the United States of America into World War I.",,,,2017
260,43,67106161,Europe,France,-99,2699000,282,USA,TRUMP,,France,Paris,11.10.2018,11.11.2018,"Commemorated the 100th anniversary of the end of the WWI and met with 
French President Emmanuel Macron.",,,,2018
261,43,67106161,Europe,France,-99,2699000,290,USA,TRUMP,,France,"Colleville,
Caen",6.6.2019,6.6.2019,"Met with President Emmanuel Macron. Attended the 75th anniversary of D-Day 
memorial ceremonies. Visited the Normandy American Cemetery and Memorial.",,,,2019
263,43,67106161,Europe,France,-99,2699000,298,Russia,Putin,,France,,12.9.2019,,Vladimir Putin arrived in France for the Normandy format summit,,,http://en.kremlin.ru/events/president/trips/62331,2019
264,43,67106161,Europe,France,-99,2699000,308,Russia,Putin,,France,,19.8.2019,,Vladimir Putin arrived in France,,,http://en.kremlin.ru/events/president/trips/61338,2019
265,43,67106161,Europe,France,-99,2699000,321,Russia,Putin,,France,,11.11.2018,,Vladimir Putin arrived in France,,,http://en.kremlin.ru/events/president/trips/59092,2018
266,43,67106161,Europe,France,-99,2699000,350,Russia,Putin,,France,,29.5.2017,,Vladimir Putin has arrived in Paris,,,http://en.kremlin.ru/events/president/trips/54623,2017
268,43,67106161,Europe,France,-99,2699000,379,Russia,Putin,,France,,10.2.2015,,Vladimir Putin has arrived in Paris,,,http://en.kremlin.ru/events/president/trips/50425,2015
269,43,67106161,Europe,France,-99,2699000,408,Russia,Putin,,France,,6.5.2014,,Meeting with Prime Minister of the United Kingdom David Cameron,,,http://en.kremlin.ru/events/president/trips/45871,2014
270,43,67106161,Europe,France,-99,2699000,444,Russia,Putin,,France,,6.1.2012,,Working visit to France,,,http://en.kremlin.ru/events/president/trips/15527,2012
273,43,67106161,Europe,France,-99,2699000,479,Russia,Dmitry Medvedev,,France,,18.10.2010,,Dmitry Medvedev arrived in Deauville to participate in Russian-German-French summit,,,http://en.kremlin.ru/events/president/trips/9314,2010
274,43,67106161,Europe,France,-99,2699000,506,Russia,Dmitry Medvedev,,France,,3.1.2010,,Russian-French summit talks took place during Dmitry Medvedev's state visit to France,,,http://en.kremlin.ru/events/president/trips/7012,2010
276,43,67106161,Europe,France,-99,2699000,549,Russia,Dmitry Medvedev,,France,,10.8.2008,,Dmitry Medvedev addressed the World Policy Conference in Evian,,,http://en.kremlin.ru/events/president/trips/4561,2008
277,43,67106161,Europe,France,-99,2699000,582,Russia,Putin,,France,,23.5.2007,,High-level Russian-Austrian talks took place,,,http://en.kremlin.ru/events/president/trips/45659,2007
278,43,67106161,Europe,France,-99,2699000,601,Russia,Putin,,France,,22.9.2006,,President Vladimir Putin and French President Jacques Chirac attended the official unveiling of a monument to the legendary Normandy-Neman Aviation Regiment,,,http://en.kremlin.ru/events/president/trips/45596,2006
279,43,67106161,Europe,France,-99,2699000,657,Russia,Putin,,France,,6.6.2004,,"The importance of the USSR in the victory over fascism cannot be disputed, but Russia should also not doubt the importance of the alliesâ operations in opening the second front",,,http://en.kremlin.ru/events/president/trips/45523,2004
280,43,67106161,Europe,France,-99,2699000,661,Russia,Putin,,France,,11.7.2003,,President Vladimir Putin made a one-day visit to Paris,,,http://en.kremlin.ru/events/president/trips/45506,2003
281,43,67106161,Europe,France,-99,2699000,674,Russia,Putin,,France,,6.1.2003,,President Vladimir Putin met with the Malaysian Prime Minister Mahathir Mohamad,,,http://en.kremlin.ru/events/president/trips/48869,2003
282,43,67106161,Europe,France,-99,2699000,680,Russia,Putin,,France,,2.10.2003,,President Vladimir Putin began a three-day state visit to France,,,http://en.kremlin.ru/events/president/trips/45472,2003
283,43,67106161,Europe,France,-99,2699000,700,Russia,Putin,,France,,15.1.2002,,Presidents Vladimir Putin of Russia and Jacques Chirac of France held negotiations,,,http://en.kremlin.ru/events/president/trips/45739,2002
284,43,67106161,Europe,France,-99,2699000,757,China,Xi Jinping,,France,Paris,25.3.2019,26.3.2019,"Xi, Macron agree to forge more solid, stable, vibrant China-France partnership , Xi Jinping Meets with Chancellor Angela Merkel of Germany, Xi Jinping Meets with Prime Minister Edouard Philippe of France, Xi Jinping and Peng Liyuan Attend the Grand Farewell Ceremony Held by President Emmanuel Macron of France, Xi Jinping Meets with President of the French National Assembly Richard Ferrand, Xi ends state visit to France, China, France pledge to jointly safeguard multilateralism, improve global governance , Xi outlines 4-pronged proposal on global governance","Xi Jinping, Emmanuel Macron, Xi Jinping, Angela Merkel, Xi Jinping, Edouard Philippe, Xi Jinping, Emmanuel Macron, Xi Jinping, Richard Ferrand, Xi Jinping, Emmanuel Macron, Xi Jinping, Emmanuel Macron, Angela Merkel, Jean-Claude Juncker",http://www.xinhuanet.com/english/2019-03/27/c_137925702.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=29483,2019
285,43,67106161,Europe,France,-99,2699000,796,China,Xi Jinping,,France,Paris,29.11.2015,30.11.2015,"Chinese president arrives in Paris for climate change conference, Chinese president meets French counterpart in Paris, China to continue to advance int'l climate cooperation, China, France to work together to make Paris climate talks a success, No zero-sum game mentality in Paris climate talks, Xi urges developed countries to honor commitments on climate finance, technology transfer, Xi, Putin agree to enhance anti-terrorism cooperation,  Xi, Obama meet in Paris, pledging cooperation on ties, climate change, China, Brazil to strengthen ties, climate cooperation, Xi sends strong signals at Paris climate talks","Xi Jinping, Francois Hollande, Xi Jinping, Vladimir Putin, Xi Jinping, Barack Obama, Xi Jinping, Dilma Rousseff, Xi Jinping",http://news.xinhuanet.com/english/2015-12/01/c_134870803.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=23624,2015
292,46,2990561,North America,Jamaica,JAM,25390,231,USA,OBAMA,,Jamaica,Kingston,4.8.2015,4.9.2015,Attended a CARICOM meeting.,,,,2015
293,47,11147407,North America,Cuba,CUB,132900,242,USA,OBAMA,,Cuba,Havana,20.3.2016,22.3.2016,Met with President Raul Castro.,,,,2016
294,47,11147407,North America,Cuba,CUB,132900,405,Russia,Putin,,Cuba,,7.11.2014,,Interview to Prensa Latina and ITAR-TASS,,,http://en.kremlin.ru/events/president/trips/46204,2014
295,47,11147407,North America,Cuba,CUB,132900,540,Russia,Dmitry Medvedev,,Cuba,,28.11.2008,,Dmitry Medvedev held talks with President of the Council of State and Council of Ministers of Cuba Raul Castro,,,http://en.kremlin.ru/events/president/trips/4566,2008
296,47,11147407,North America,Cuba,CUB,132900,817,China,Xi Jinping,,Cuba,Havana,21.7.2014,24.7.2014,"Chinese president arrives in Cuba for state visit, Xi Jinping Holds Talks with President of the Council of State and the Council of Ministers RaÃºl Castro, Xi Jinping Receives Order of JosÃ© Marti of Cuba, Chinese president visits Cuban revolutionary leader Fidel Castro, Chinese president visits Cuba's Heroic City, Chinese president ends Cuba tour with fruitful results to further ties","Xi Jinping, Raul Castro, Xi Jinping, Fidel Castro, Xi Jinping, Raul Castro, Xi Jinping",http://news.xinhuanet.com/english/china/2014-07/24/c_133508717.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=20322,2014
297,47,11147407,North America,Cuba,CUB,132900,886,China,Hu Jintao,,Cuba,Havana,18.11.2008,18.11.2008,"Hu Jintao held talks with Cuban leader Raul Castro.
, Hu Jintao visited Fidel Castro, first secretary of the Central Committee of the Communist Party of Cuba. 
","Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Xie Xuren, Yang Jiechi, Raul Castro, Hu Jintao, Ling Jihua, Wang Huning, Fidel Castro",http://news.xinhuanet.com/english/2008-11/19/content_10378183.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=7067,2008
298,47,11147407,North America,Cuba,CUB,132900,939,China,Hu Jintao,,Cuba,Havana,22.11.2004,22.11.2004,"Hu Jintao met with Fidel Castro, president of the Cuban Council of State.","Hu Jintao, Bo Xilai, Li Zhaozhuo, Ma Kai, Wang Gang, Fidel Castro",,http://www.chinavitae.com//vip/index.php?mode=show&id=2935,2004
299,47,11147407,North America,Cuba,CUB,132900,977,China,Jiang Zemin,,Cuba,Havana,4.12.2001,4.12.2001,jJiang Zemin-Fidel Castro Summit,Fidel Castro,https://www.hrw.org/news/2001/04/11/jiang-zemin-fidel-castro-summit#,https://www.fmprc.gov.cn/web/ziliao_674904/zt_674979/ywzt_675099/2355_676073/2380_676089/,2001
300,48,13805084,Africa,Zimbabwe,ZWE,28330,795,China,Xi Jinping,,Zimbabwe,Harare,12.1.2015,12.1.2015,All-weather China-Zimbabwe friendship sets sail for more fruitful cooperation,"Xi Jinping, Robert Mugabe",http://news.xinhuanet.com/english/2015-12/02/c_134876560.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=23635,2015
301,49,2214858,Africa,Botswana,BWA,35900,39,USA,W. BUSH,,Botswana,Gaborone,7.10.2003,7.10.2003,Met with President Mogae. Toured Mokoldi Nature Reserve.,,,,2003
302,50,2484780,Africa,Namibia,NAM,25990,528,Russia,Dmitry Medvedev,,Namibia,,25.6.2009,,During his official visit to Namibia President of Russia Dmitry Medvedev held talks with President of Namibia Hifikepunye Pohamba,,,http://en.kremlin.ru/events/president/trips/4896,2009
303,50,2484780,Africa,Namibia,NAM,25990,904,China,Hu Jintao,,Namibia,Windhoek,2.5.2007,2.5.2007,Hu Jintao held talks with Namibian President Hifikepunye Pohamba.,"Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Hifikepunye Pohamba",http://english.gov.cn/2007-02/06/content_518740.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=5704,2007
304,51,14668522,Africa,Senegal,SEN,39720,37,USA,W. BUSH,,Senegal,"Dakar, Goree Island",7.8.2003,7.8.2003,Met with President Wade.,,,,2003
305,51,14668522,Africa,Senegal,SEN,39720,199,USA,OBAMA,,Senegal,Dakar,26.6.2013,28.6.2013,Met with President Macky Sall.,,,,2013
306,51,14668522,Africa,Senegal,SEN,39720,202,USA,OBAMA,,Senegal,Dakar,7.2.2013,7.2.2013,Stopped during return to Washington.,,,,2013
307,51,14668522,Africa,Senegal,SEN,39720,768,China,Xi Jinping,,Senegal,Dakar,21.7.2018,22.7.2018,"Xi arrives in Senegal for state visit, Chinese, Senegalese presidents pledge to create better future for ties, Xi attends handover ceremony of Senegal's national wrestling arena","Xi Jinping, Macky Sall, Mohammed Dionne, Xi Jinping, Macky Sall, Xi Jinping, Macky Sall",http://www.fmprc.gov.cn/mfa_eng/zxxx_662805/t1579387.shtml,http://www.chinavitae.com//vip/index.php?mode=show&id=28607,2018
308,51,14668522,Africa,Senegal,SEN,39720,881,China,Hu Jintao,,Senegal,Dakar,13.2.2009,13.2.2009,Hu Jintao met with Senegalese President Abdoulaye Wade.,"Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Abdoulaye Wade",http://news.xinhuanet.com/english/2009-02/14/content_10817000.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=7254,2009
309,52,17885245,Africa,Mali,MLI,38090,882,China,Hu Jintao,,Mali,Bamako City,2.12.2009,2.12.2009,Hu Jintao met with Malian President Amadou Toumany Toure.,"Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Amadou Toumany Toure",http://news.xinhuanet.com/english/2009-02/13/content_10810653.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=7252,2009
311,54,11038805,Africa,Benin,BEN,24310,116,USA,W. BUSH,,Benin,Porto Novo,16.2.2008,16.2.2008,Met with President Boni.,,,,2008
313,56,190632261,Africa,Nigeria,NGA,1089000,41,USA,W. BUSH,,Nigeria,Abuja,7.11.2003,7.12.2003,Met with President Obasanjo.,,,,2003
314,56,190632261,Africa,Nigeria,NGA,1089000,529,Russia,Dmitry Medvedev,,Nigeria,,24.6.2009,,Russian-Nigerian talks took place in Abuja,,,http://en.kremlin.ru/events/president/trips/4892,2009
315,56,190632261,Africa,Nigeria,NGA,1089000,917,China,Hu Jintao,,Nigeria,Abuja,26.4.2006,26.4.2006,Hu Jintao held talks with Nigerian President Olusegun Obasanjo.,"Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Olusegun Obasanjo",http://news.xinhuanet.com/english/2006-04/27/content_4479268.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=4908,2006
316,56,190632261,Africa,Nigeria,NGA,1089000,966,China,Jiang Zemin,,Nigeria,,15.4.2002,15.4.2002,"Tour in Europe,Africa,Iran",Nigerian President Olusegun Obasanjo,https://www.fmprc.gov.cn/mfa_eng//wjb_663304/zzjg_663340/fzs_663828/gjlb_663832/3059_664144/3061_664148/t16559.shtml,,2002
317,57,24994885,Africa,Cameroon,CMR,77240,908,China,Hu Jintao,,Cameroon,Yaounde,31.1.2007,31.1.2007,Hu Jintao held talks with Cameroonian President Paul Biya.,"Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Paul Biya",http://news.xinhuanet.com/english/2007-02/01/content_5680887.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=5693,2007
319,59,27499924,Africa,Ghana,GHA,120800,119,USA,W. BUSH,,Ghana,Accra,19.2.2008,21.2.2008,Met with President Kufuor.,,,,2008
320,59,27499924,Africa,Ghana,GHA,120800,157,USA,OBAMA,,Ghana,"Accra, Cape Coast",7.10.2009,7.11.2009,Met with President Mills and addressed Parliament.,,,,2009
324,63,4689021,Africa,Liberia,LBR,3881,120,USA,W. BUSH,,Liberia,Liberia,21.2.2008,21.2.2008,Met with President Johnson Sirleaf.,,,,2008
325,63,4689021,Africa,Liberia,LBR,3881,907,China,Hu Jintao,,Liberia,Monrovia,2.1.2007,2.1.2007,Hu Jintao held talks with Liberian President Ellen Johnson-Sirleaf.,"Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Ellen Johnson-Sirleaf",http://news.xinhuanet.com/english/2007-02/02/content_5685183.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=5699,2007
330,68,1772255,Africa,Gabon,GAB,35980,950,China,Hu Jintao,,Gabon,Libreville,2.1.2004,2.2.2004,"Hu Jintao was welcomed by Gabonese President El Hadj Omar Bongo Ondimba with a welcoming ceremony at the airport. 
, Hu Jintao addressed the National Assembly of Gabon., Hu Jintao held talks with Gabon's president, El Hadj Omar Bongo Ondimba.","Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Yongqing Liu, El Hadj Omar Bongo Ondimba, Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Hu Jintao, Li Zhaoxing, Tang Jiaxuan, El Hadj Omar Bongo Ondimba",,http://www.chinavitae.com//vip/index.php?mode=show&id=1501,2004
332,70,15972000,Africa,Zambia,ZMB,65170,905,China,Hu Jintao,,Zambia,Lusaka,2.3.2007,2.3.2007,Hu Jintao held talks with Zambian President Levy Patrick Mwanawasa.,"Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Levy Patrick Mwanawasa",http://news.xinhuanet.com/english/2007-02/04/content_5691404.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=5702,2007
334,72,26573706,Africa,Mozambique,MOZ,35010,902,China,Hu Jintao,,Mozambique,Maputo,2.8.2007,2.8.2007,Hu Jintao held talks with Mozambican President  Armando Emilio Guebuza.,"Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Armando Emilio Guebuza",http://news.xinhuanet.com/english/2007-02/09/content_5717182.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=5708,2007
336,74,29310273,Africa,Angola,AGO,189000,527,Russia,Dmitry Medvedev,,Angola,,26.6.2009,,Dmitry Medvedev has made an official visit to Angola,,,http://en.kremlin.ru/events/president/trips/4897,2009
